id,Statement,Code,WVS question
001-01,Family is very important in my life.,1,Q1
001-02,Family is rather important in my life.,2,Q1
001-03,Family is not very important in my life.,3,Q1
001-04,Family is not at all important in my life.,4,Q1
002-01,Friends are very important in my life.,1,Q2
002-02,Friends are rather important in my life.,2,Q2
002-03,Friends are not very important in my life.,3,Q2
002-04,Friends are not at all important in my life.,4,Q2
003-01,Leisure time is very important in my life.,1,Q3
003-02,Leisure time is rather important in my life.,2,Q3
003-03,Leisure time is not very important in my life.,3,Q3
003-04,Leisure time is not at all important in my life.,4,Q3
004-01,Politics are very important in my life.,1,Q4
004-02,Politics are rather important in my life.,2,Q4
004-03,Politics are not very important in my life.,3,Q4
004-04,Politics are not at all important in my life.,4,Q4
005-01,Work is very important in my life.,1,Q5
005-02,Work is rather important in my life.,2,Q5
005-03,Work is not very important in my life.,3,Q5
005-04,Work is not at all important in my life.,4,Q5
006-01,Religion is very important in my life.,1,Q6
006-02,Religion is rather important in my life.,2,Q6
006-03,Religion is not very important in my life.,3,Q6
006-04,Religion is not at all important in my life.,4,Q6
027-01,Making my parents proud has always been my primary goal in life.,1,Q27
027-02,One of my goals in life has been to make my parents proud.,2,Q27
027-03,Making my parents proud has rarely been among my main goals in life.,3,Q27
027-04,Making my parents proud has never been a goal of mine in life.,4,Q27
028-01,"When a mother works for pay, the children inevitably suffer.",1,Q28
028-02,"When a mother works for pay, the children tend to suffer.",2,Q28
028-03,"When a mother works for pay, the children don't necessarily suffer.",3,Q28
028-04,"When a mother works for pay, the children do not suffer.",4,Q28
029-01,Men unquestionably make better political leaders than women do.,1,Q29
029-02,Men generally make better political leaders than women do.,2,Q29
029-03,Men don't really make better political leaders than women do.,3,Q29
029-04,Men absolutely do not make better political leaders than women do.,4,Q29
030-01,A university education is far more important for a boy than for a girl.,1,Q30
030-02,A university education is somewhat more important for a boy than for a girl.,2,Q30
030-03,A university education is not really more important for a boy than for a girl.,3,Q30
030-04,A university education is not at all more important for a boy than for a girl.,4,Q30
031-01,Men are definitively better business executives than women.,1,Q31
031-02,Men do tend to make somewhat better business executives than women.,2,Q31
031-03,"Men don't really make better business executives than women, on the whole.",3,Q31
031-04,Men are in no way better business executives than women.,4,Q31
032-01,Being a housewife is every bit as fulfilling as working for pay.,1,Q32
032-02,Being a housewife can be just as fulfilling as working for pay.,2,Q32
032-03,Being a housewife is not quite as fulfilling as working for pay.,3,Q32
032-04,Being a housewife is nowhere near as fulfilling as working for pay.,4,Q32
033-01,"When jobs are scarce, men absolutely should have more right to a job than women.",1,Q33
033-02,"When jobs are scarce, men should probably have more right to a job than women.",2,Q33
033-03,"When jobs are scarce, it is unclear whether men should have more right to a job than women.",3,Q33
033-04,"When jobs are scarce, men should probably not have more right to a job than women.",4,Q33
033-05,"When jobs are scarce, men should absolutely not have more right to a job than women.",5,Q33
034-01,"When jobs are scarce, employers must absolutely give priority to people of this country over immigrants.",1,Q34
034-02,"When jobs are scarce, employers should probably give priority to people of this country over immigrants.",2,Q34
034-03,"When jobs are scarce, it is debatable whether employers should give priority to people of this country over immigrants.",3,Q34
034-04,"When jobs are scarce, employers should not necessarily give priority to people of this country over immigrants.",4,Q34
034-05,"When jobs are scarce, employers should under no circumstances give priority to people of this country over immigrants.",5,Q34
035-01,"If a woman earns more money than her husband, it will almost certainly cause problems.",1,Q35
035-02,"If a woman earns more money than her husband, it may well cause problems.",2,Q35
035-03,"If a woman earns more money than her husband, it may or may not cause problems.",3,Q35
035-04,"If a woman earns more money than her husband, it isn't necessarily going to cause problems.",4,Q35
035-05,"If a woman earns more money than her husband, it is almost certain not to cause problems.",5,Q35
036-01,Homosexual couples are undoubtedly as good parents as other couples.,1,Q36
036-02,Homosexual couples are generally as good parents as other couples.,2,Q36
036-03,Homosexual couples may or may not be as good parents as other couples.,3,Q36
036-04,Homosexual couples are not always as good parents as other couples.,4,Q36
036-05,Homosexual couples are not as good parents as other couples.,5,Q36
037-01,It is an absolute duty towards society to have children.,1,Q37
037-02,It is arguably a duty towards society to have children.,2,Q37
037-03,Whether having children is a duty towards society is debatable.,3,Q37
